mask_id,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,score_annual_inc,score_delinq_2yrs,score_emp_length,score_home_ownership,score_inq_last_6mths,score_int_rate,score_pub_rec,score_purpose,score_term
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#O#0.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013267459688078255,0.013310415057399064,0.013098631285724189,0.012992739486651654,0.01299275559593671,0.012992771792307749,0.012978440987053561,0.013038189130145738,0.01295060831140193,0.013040131115218335,0.012720533906620037,0.01252092409875501,0.012364893462101718,0.011909713995655222,-0.004084332600797428,0.012348020013615268,-0.03397584444112372,0.012919542099898628,0.013120058163811838,0.012792501174993337,0.012626082508867594,0.01289384401910337,0.004590721035507743,0.012634283634415365,0.012950606548720888,0.012802293916444373,0.012684077696248554,0.007994623306114994,0.012931887590555215,0.012814935365560077,0.012032273000215626,0.012040388897034024,-0.013976345608075756,0.0017552549865576187,-0.02255852796066552,0.012389826781517416,-0.034952166192619295,0.01304291568681703,0.013042760601681481,0.012728711068293404,0.012271838964655557,-0.0002667087709799873,-0.0031632315512000447,0.013060352938196951,0.012982805944910386,0.012979302148433179,0.012978833716633522,0.00784998938991007,0.01281465833532099,0.013330206316994806,0.013066151777914014,0.012295543763767684,0.012066218482946691,-0.0064492816841010435,0.011701317242656759,-0.017645546761944523,-0.019068498743355918,-0.0003496606220917316,-0.03360010695376973,-0.016382239135816566,>50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,0.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#O#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,0.0131375,0.0131375,0.013137499999999995,0.013137499999999976,0.0131375,0.013137499999999976,0.013137499999999955,0.0131375,0.013137499999999993,0.013137500000000031,0.013137499999999984,0.013137499999999996,0.013137499999999974,0.013137499999999976,0.01313750000000003,0.0063375000000000445,0.01993750000000004,0.013137500000000031,0.013137499999999958,0.013137499999999996,0.013137500000000028,0.013283333333333341,0.006337499999999969,0.006337500000000033,0.0063374999999999525,0.0175994258672701,0.0063374999999999595,0.006337500000000014,0.006337500000000011,0.006337500000000025,-0.49366249999902223,0.01292083333333334,0.01292083333333335,0.012920833333333367,0.012920833333333288,0.012920833333333288,0.012920833333333295,0.012920833333333274,0.012920833333333312,0.012920833333333328,0.012920833333333279,0.012998563482659355,0.013166666666669167,0.01316666666666348,0.013166666666667893,0.013166666666665267,0.013166666666664035,0.013166666666665697,0.013166666666666013,0.01316666666667059,0.013370833333335158,0.013370833333315764,0.013370833333321556,0.01337083333340874,0.013370833333431281,0.013249999999927231,0.008861111111130414,-0.32447222220706845,<50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#O#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,0.013291666666666688,0.013291666666666719,0.013291666666666709,0.013291666666666674,0.013291666666666618,0.013291666666666643,0.01329166666666667,0.01329166666666668,0.013416666666666683,0.013416666666666686,0.01341666666666664,0.013143750000000001,0.012979999999999997,0.012979999999999997,0.01310694444444444,0.013106944444444468,0.008786111111111097,0.017427777777777792,0.013106944444444435,0.013106944444444437,0.013106944444444447,0.010840277777777782,0.015373611111111121,0.013106944444444444,0.013115476190476216,0.013247222222222235,0.013247222222222193,0.013247222222222238,0.011351190476190496,0.015236904761904745,0.013294047619047613,0.01329404761904759,0.013278125000000012,0.013278125000000016,0.013278124999999993,0.01327812500000002,0.013278125000000003,0.013273148148148154,0.01176203703703702,0.01413529206346447,0.011104586537050083,0.011246611338660797,0.011086561209681859,-0.13358693741667102,0.013173009785085931,0.01313532086920911,0.013135329860526805,0.013135338899876992,0.011993513432856706,0.011123507309260807,0.013249712061873607,0.010953260911253383,0.015478269418797203,0.012133104714733299,0.012296509750040157,-0.05438689802481807,0.013131908549943337,-0.054487841229121654,0.013048758741909808,>50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013041666666666667,0.013391666666666718,0.006870833333333235,0.006870833333333381,0.006870833333333367,0.006870833333333267,-0.4931291666844255,0.013520833333333333,0.006870833333333279,0.01923177276473004,0.0068708333333334145,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,0.013008333333330357,0.012883333333332851,0.012883333333331446,0.012883333333335311,0.012883333333333934,0.01288333333333196,0.013113888888890484,0.013113888888856102,0.013113888888862913,0.013113888888880479,0.0132708333333416,0.013270833333321706,0.013270833333391649,0.013270833333348216,0.01327083333332565,0.013270833333334616,<50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#O#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012675,0.012675,0.012675000000000077,0.01267499999999992,0.012675000000000086,0.012675000000000011,0.012675000000000079,0.0126750000000001,0.012675000000000027,0.012675000000000039,0.012675000000000072,0.013000000000000029,0.012999999999999987,0.012999999999999928,0.01324722222222225,0.013247222222222245,0.013247222222222235,0.013247222222222174,0.013247222222222223,0.013247222222222231,0.013247222222222214,0.01324722222222219,0.013247222222222304,0.013247222222222231,0.013329166666666717,0.013329166666666704,0.013329166666666649,0.01016041666666663,0.016497916666666702,0.010160416666666672,0.016497916666666588,0.0101604166666667,0.010160416666666668,-0.23982094208280882,0.013450000000000014,0.013449999999999986,0.013450000000000023,0.013450000000000004,0.013467608380573766,0.013324999999999998,0.013325000000000005,0.013325000000000165,0.013166666666666584,0.013288888888894594,0.01301666666666849,0.0130150000000021,0.01301388888888763,0.013013888888886554,0.013013095238092237,0.013083333333334536,0.013083333333267009,0.01301759259265191,0.012426304846255072,0.012512091290827568,0.012506415807523541,0.012544639895541809,-0.019900261828859026,0.013099423076870311,0.012999358974372656,>50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#<2 years#C#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013575,0.013574999999999999,0.013574999999999962,0.013574999999999997,0.01357500000000001,0.013404166666666665,0.013404166666666707,0.01340416666666664,0.01341888633184641,0.01323333333333329,0.013120833333333838,0.013120833333334895,0.013083333333333504,0.01308333333333088,0.013064583333333761,0.01306458333333222,0.012950000000000064,0.012949999999973183,0.012949999999987957,0.010348333333298269,0.010348333333337397,0.010348333333315526,0.010348333333303249,-0.18965166666699346,0.012935416666633578,0.012935416666670457,<50k,0.0DEQ,<2 years,OWN,2+ENQ,14.5<x<16.5,0.0PUB,C,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#<2 years#C#0.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012589583333333312,0.012628141517989407,0.012628158120937016,0.012628174808839057,0.012628191581676992,0.012628208439415721,0.012628225382002596,0.012628242409366205,0.01262825952141411,0.012628276718031765,0.010191925667086434,0.010170614183049211,-0.1811282187332305,0.012583333333333308,0.01258333333333334,0.008463888888888889,0.00846388888888887,0.008463888888888884,0.008463888888888894,-0.32486944444275556,0.01269583333333335,0.01269583333333334,0.012695833333333371,0.012716666666666659,0.012716666666666654,0.012931250000000005,0.01293125000000002,0.012931249999999995,0.013060000000000006,0.01306000000000001,0.013060000000000025,0.013063629111891675,0.013135416666666648,0.013135416666666644,0.013135416666666658,0.013109999999999993,0.013110000000000002,0.013180555555555562,0.011315545876887356,0.011527156303904603,-0.09944714664161103,0.013079120824048846,0.01307719394805755,0.013070949346771622,0.013082132987887999,0.01307532272871024,0.013063499648300761,0.013097616864815717,0.013137886181836393,0.013162804251104427,0.013168231045259436,0.013107701892801922,0.013080938721982358,0.013080693580965355,0.013083244126689922,>50k,0.0DEQ,<2 years,OWN,2+ENQ,14.5<x<16.5,0.0PUB,C,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#<2 years#C#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013008333333333353,0.013008333333333334,0.013008333333333379,0.01300833333333335,0.013008333333333674,0.013008333333330587,0.01300833333333381,0.013008333333333202,0.01300833333333381,0.01300833333333034,0.013291666666664995,0.013291666666667909,0.013291666666665052,0.013441666666667495,0.013441666666610994,0.013329166666691752,0.013329166666737006,0.013265000000042118,0.013264999999993105,0.013265000000005075,<50k,0.0DEQ,<2 years,RENT,2+ENQ,14.5<x<16.5,0.0PUB,C,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#<2 years#C#0.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012208333333333333,0.012208333333333363,0.012208333333333266,0.012208333333333331,0.01220833333333334,0.012208333333333423,0.012208333333333307,0.012208333333333305,0.012208333333333318,0.012208333333333352,0.012663888888888891,0.012663888888888898,0.012663888888888883,0.012663888888888917,0.012663888888888879,0.012663888888888877,0.012663888888888898,0.012663888888888869,0.012663888888888905,0.012663888888888896,0.012663888888888905,0.012663888888888893,0.012663888888888891,0.008594444444444434,0.00956666666666667,0.009566666666666793,0.0102279729729732,-0.1897720258821192,0.010227975270420242,0.010605258134570417,0.011029507803731856,0.011029508639265774,-0.13182763337810652,0.01291498426595731,0.012914985255764325,0.013009273929065599,0.013007073771124238,0.013022791734374744,0.01370159970864211,0.013037801838338263,0.013037802984872723,0.012796498996292817,>50k,0.0DEQ,<2 years,RENT,2+ENQ,14.5<x<16.5,0.0PUB,C,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#<2 years#C#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013708333333333367,0.013708333333333373,0.013708333333333291,0.01370833333333336,0.01370833333333336,0.01370833333333338,0.01370833333333331,0.01370833333333334,0.013708333333333286,0.013708333333333394,0.01370833333333338,0.013708333333333309,0.013708333333333296,0.0137083333333333,0.01370833333333328,0.013708333333333298,0.013708333333333383,0.01370833333333328,0.013708333333333387,0.013708333333333397,0.013708333333333399,0.013708333333333295,0.01370833333333335,0.013708333333333371,0.013708333333333387,0.013708333333333343,0.013708333333333269,0.0137083333333333,0.013708333333333341,0.013708333333333397,0.01370833333333329,0.013708333333333385,0.013708333333333374,0.013708333333333404,0.013708333333333362,0.013832285038102871,,,,,,,,,,0.013008333333333334,0.013008333333332761,0.01300833333333368,0.013008333333334527,0.01300833333333403,0.012879166666665836,0.012879166666666844,0.012879166666667694,0.012836111111110604,0.01295833333333512,0.012958333333307672,0.012982388619219737,0.013397320783227775,0.012958333333302784,0.01295833333335365,0.01295833333331544,>50k,0.0DEQ,<2 years,OWN,2+ENQ,14.5<x<16.5,1.0PUB,C,60M
