mask_id,7/1/2007,8/1/2007,9/1/2007,10/1/2007,11/1/2007,12/1/2007,1/1/2008,2/1/2008,3/1/2008,4/1/2008,5/1/2008,6/1/2008,7/1/2008,8/1/2008,9/1/2008,10/1/2008,11/1/2008,12/1/2008,1/1/2009,2/1/2009,3/1/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/1/2009,9/1/2009,10/1/2009,11/1/2009,12/1/2009,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,total,score_annual_inc,score_delinq_2yrs,score_emp_length,score_home_ownership,score_inq_last_6mths,score_int_rate,score_pub_rec,score_purpose,score_term
1.0DEQ#<10#36M#1OR2ENQ#>2 years#O#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.00,2927.93,2855.27,2782.03,2708.18,2633.74,2558.69,2483.03,2406.76,2329.86,2252.34,2174.19,2095.40,2015.98,1935.90,1855.18,1773.80,1691.75,1609.04,1525.66,1441.60,1356.86,1271.42,1185.29,1098.46,1010.93,922.68,833.71,744.02,653.61,562.45,470.56,4000.00,400.00,287.27,160.61,32.90,62047.11,<50k,1.0DEQ,>2 years,OWN,1OR2ENQ,<10,1.0PUB,O,36M
0.0DEQ#12.5<x<14.5#60M#2+ENQ#>2 years#H#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.00,4941.37,4882.07,4822.10,4761.45,4700.12,4638.08,4575.35,4511.90,4447.73,18507.84,18272.38,18034.38,17793.82,17550.66,17304.89,29056.46,28661.11,28261.53,28042.39,27820.89,27596.98,14655.58,14426.80,14195.54,13961.78,13725.49,13486.64,13245.21,13001.15,12754.46,12505.10,12253.03,11998.24,11740.69,11480.35,11217.19,10951.18,10682.29,10410.49,10135.74,9858.02,9577.29,9293.52,1678.50,1582.20,1484.80,1386.30,1286.69,1185.94,1084.05,981.00,876.79,771.39,664.80,557.00,447.98,337.72,226.21,113.44,604404.11,<50k,0.0DEQ,>2 years,OWN,2+ENQ,12.5<x<14.5,0.0PUB,H,60M
1.0DEQ#12.5<x<14.5#60M#2+ENQ#<2 years#H#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.00,3162.85,3125.27,3087.25,3048.78,3009.87,2970.51,2930.68,2890.40,2849.64,2808.41,2766.69,2724.50,2681.81,2638.62,2594.93,2550.73,2506.02,2460.78,2415.02,2368.72,2321.89,2274.51,2226.58,2178.09,2129.03,2079.41,2029.20,1978.41,1927.03,1875.05,1822.46,1769.27,1715.45,1661.00,1605.92,1550.20,1493.83,1436.81,1379.11,1320.75,1261.71,1201.98,1141.55,1080.42,1018.58,956.01,892.72,828.69,763.91,698.38,632.09,565.02,497.18,428.54,359.10,288.85,217.79,145.90,108543.90,<50k,1.0DEQ,<2 years,RENT,2+ENQ,12.5<x<14.5,0.0PUB,H,60M
0.0DEQ#10<x<12.5#60M#2+ENQ#<2 years#D#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200.00,6122.81,6044.89,25716.23,25394.08,25068.78,24690.30,24358.17,24022.79,23634.13,23291.73,22945.97,22546.84,22143.86,21786.99,21426.63,21062.75,20695.32,20324.29,4385.14,4290.93,4145.83,4049.39,3952.04,3853.77,3754.57,3654.43,3553.35,3451.31,3348.30,3244.31,3139.35,3033.39,2926.42,2818.45,2709.45,1981.14,1907.59,1833.31,1758.30,1682.55,1606.05,1528.79,1450.77,1371.98,1292.41,1212.05,1130.90,1048.95,966.18,882.60,798.19,712.95,626.87,539.94,452.14,363.48,273.94,183.52,473391.54,<50k,0.0DEQ,<2 years,RENT,2+ENQ,10<x<12.5,0.0PUB,D,60M
1.0DEQ#12.5<x<14.5#60M#2+ENQ#>2 years#O#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.00,7709.45,7617.85,7525.17,9031.42,8918.24,8803.73,8687.88,8570.67,8452.09,8332.12,8210.74,8087.94,7963.70,7838.01,7710.85,7582.19,7452.03,1322.13,1300.44,1278.49,1256.27,1233.79,1211.04,1188.01,1164.71,1141.12,1117.25,1093.10,1068.65,1043.91,1018.86,993.52,967.87,941.92,915.65,889.06,862.15,834.92,807.36,779.47,751.25,722.68,693.77,664.51,634.89,604.92,574.59,543.90,512.83,481.39,449.57,417.37,384.78,351.79,318.41,284.63,250.44,179365.49,<50k,1.0DEQ,>2 years,OWN,2+ENQ,12.5<x<14.5,0.0PUB,O,60M
0.0DEQ#12.5<x<14.5#60M#1OR2ENQ#<2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800.00,4743.72,4686.80,13029.24,12872.53,16813.65,16708.28,18001.68,17938.40,17874.36,17809.56,17744.00,13285.27,13218.13,13150.19,4779.93,4710.36,4639.97,4568.73,4496.65,4423.71,4349.90,4275.21,1114.75,1095.13,1075.29,1055.21,1034.91,1014.37,993.60,972.58,951.33,929.83,908.08,886.08,863.83,841.33,818.56,795.54,772.24,748.68,724.85,700.75,676.37,651.71,626.76,601.53,576.01,550.19,524.08,497.67,470.95,443.92,416.59,388.94,360.97,332.68,304.07,275.13,264914.78,<50k,0.0DEQ,<2 years,RENT,1OR2ENQ,12.5<x<14.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#<2 years#H#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.00,5934.00,5867.12,5799.36,5730.69,5661.11,5590.61,5519.16,5446.77,5373.42,5299.09,5223.78,5147.46,5070.13,4991.77,4912.37,4831.91,4750.38,4667.77,4584.07,4499.25,4413.30,4326.21,4237.96,4148.54,4057.93,3966.12,3873.08,3778.81,3683.29,3586.50,3488.42,3389.04,3288.33,3186.29,3082.89,2978.12,2871.95,2764.37,2655.37,2544.91,2432.99,2319.58,2204.66,2088.21,1970.22,1850.65,1729.50,1606.74,1482.35,1356.30,1228.58,1099.16,968.02,835.13,700.48,564.04,425.79,285.70,206369.73,<50k,0.0DEQ,<2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,H,60M
0.0DEQ#10<x<12.5#60M#0ENQ#<2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.00,10679.73,10542.91,10404.90,10265.69,10125.27,9983.63,9840.76,9696.65,9551.28,9404.66,9256.76,9107.57,8957.09,8805.30,8652.20,8497.76,8341.98,8184.85,8026.35,7866.48,7705.21,7542.55,7378.47,7212.97,7046.03,6877.64,6707.78,6536.45,6363.63,6189.31,6013.48,5836.12,5657.21,5476.75,5294.73,5111.12,4925.92,4739.11,4550.67,4360.60,4168.88,3975.49,3780.42,3583.66,3385.19,3184.99,2983.05,1279.36,555.01,333.29,297.15,336844.08,<50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,1.0PUB,O,60M
0.0DEQ#10<x<12.5#60M#1OR2ENQ#>2 years#O#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.00,1653.99,1632.78,1611.38,1589.78,1567.98,1545.97,1523.77,1501.35,1478.73,1455.90,1432.86,1409.61,1386.14,1362.45,1338.55,1314.42,1290.07,6265.49,6179.66,6092.98,6005.44,5917.05,5827.78,5737.63,5646.59,5554.66,5461.82,5368.06,5273.38,5177.77,5081.21,4983.71,4885.24,839.85,811.11,782.09,752.82,723.27,693.44,663.34,632.96,602.30,571.36,540.13,508.61,476.80,444.69,412.29,379.59,346.58,126410.44,<50k,0.0DEQ,>2 years,OWN,1OR2ENQ,10<x<12.5,1.0PUB,O,60M
0.0DEQ#14.5<x<16.5#60M#2+ENQ#>2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.00,4945.75,4890.76,4835.01,4778.50,4721.22,4663.15,4604.28,4544.61,4484.12,4422.80,4360.64,4297.63,4233.75,4169.00,4103.36,4036.82,3969.36,3900.99,3831.67,3761.41,3690.18,3617.98,3544.79,3470.59,3395.37,3319.13,3241.84,3163.49,3084.07,3003.55,2921.94,2839.20,2755.33,2670.31,2584.13,2496.76,2408.20,2318.42,2227.41,2135.16,2041.64,1946.83,1850.73,1753.31,1654.56,1554.45,1452.97,1350.10,1245.81,1140.10,1032.94,924.31,814.19,702.56,589.40,474.69,358.41,172329.68,<50k,0.0DEQ,>2 years,RENT,2+ENQ,14.5<x<16.5,1.0PUB,O,60M
1.0DEQ#12.5<x<14.5#60M#1OR2ENQ#<2 years#O#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.00,3260.25,3220.08,3179.48,3138.47,3097.02,3055.13,3012.80,2970.03,2926.81,2883.14,2839.01,2794.41,2749.35,2703.81,2657.79,2611.29,2564.30,2516.81,2468.83,2420.35,2371.35,2321.84,2271.81,2221.25,2170.16,2118.54,2066.37,2013.65,1960.38,1906.55,1852.16,1797.19,1741.65,1685.52,1628.80,1571.49,1513.57,1455.04,1395.90,1336.14,1275.75,1214.73,1153.06,1090.75,1027.78,964.15,899.86,834.88,769.22,702.88,635.83,568.09,499.63,430.45,109835.59,<50k,1.0DEQ,<2 years,OWN,1OR2ENQ,12.5<x<14.5,0.0PUB,O,60M
1.0DEQ#<10#36M#0ENQ#>2 years#H#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.00,1170.22,1140.25,1110.09,1079.74,1049.20,1018.46,987.53,956.40,925.07,893.54,861.82,829.89,797.76,765.43,732.89,700.14,667.19,634.02,600.65,10567.06,533.26,499.25,465.02,30184.88,<50k,1.0DEQ,>2 years,RENT,0ENQ,<10,0.0PUB,H,36M
0.0DEQ#10<x<12.5#60M#2+ENQ#>2 years#O#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.00,5924.04,5847.40,5770.07,5692.05,5613.33,5533.91,5453.77,5372.92,5291.34,5209.04,5125.99,5042.20,4957.66,4872.36,4786.30,4699.47,4611.86,4523.46,4434.27,4344.29,4253.50,4161.89,4069.46,3976.21,3882.12,3787.19,3691.40,3594.76,3497.26,3398.87,3299.61,3199.46,3098.41,2996.46,2893.59,2789.81,2685.09,2579.43,2472.83,2365.27,2256.75,2147.26,2036.78,1925.32,1812.86,1699.39,1584.90,1469.39,1352.84,1235.25,1116.61,996.90,876.12,754.26,631.31,507.25,198201.56,>50k,0.0DEQ,>2 years,RENT,2+ENQ,10<x<12.5,1.0PUB,O,60M
1.0DEQ#10<x<12.5#60M#2+ENQ#>2 years#D#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.00,7900.69,7800.43,7699.21,7597.02,7493.85,7389.69,7284.54,7178.38,7071.20,6963.00,6853.76,6743.47,6632.13,6519.73,6406.24,6291.67,6176.00,6059.23,5941.34,5822.32,5702.15,5580.84,5458.37,5334.72,5209.89,5083.87,4956.64,4828.18,4698.50,4567.58,4435.41,4301.97,4167.25,4031.24,3893.93,3755.30,3615.35,3474.06,3331.41,3187.40,3042.01,2895.23,2747.04,2597.43,2446.39,2293.90,2139.96,1984.54,1827.63,1669.22,1509.29,1347.84,1184.83,1020.27,854.12,686.39,517.05,266201.10,<50k,1.0DEQ,>2 years,RENT,2+ENQ,10<x<12.5,0.0PUB,D,60M
1.0DEQ#<10#36M#2+ENQ#>2 years#O#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.00,3511.02,3421.46,3331.31,3240.57,3149.24,3057.30,2964.76,2871.62,2777.86,2683.48,2588.49,2492.87,2396.63,2299.75,2202.24,2104.09,2005.29,1905.84,1805.75,1704.99,1603.57,1501.49,1398.74,1295.31,,,,,,,,,,,,,,,,,4000.00,3900.75,3800.87,3700.36,3599.20,3497.41,3394.97,3291.87,2188.13,2077.37,1965.91,1853.75,1740.87,1627.27,1512.96,1397.91,1282.14,1165.63,1048.38,930.39,811.65,692.15,571.90,111965.52,<50k,1.0DEQ,>2 years,OWN,2+ENQ,<10,0.0PUB,O,36M
0.0DEQ#<10#60M#2+ENQ#<2 years#O#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.00,4142.11,4083.85,4025.23,3966.24,8906.88,4929.32,4858.25,4786.80,4714.96,4642.73,4570.10,4497.08,4423.66,4349.83,4275.61,4200.98,4125.95,4050.51,3974.65,3898.38,3821.70,3744.60,3667.07,3589.13,3510.76,3431.96,3352.74,3273.08,3192.99,3112.46,3031.49,2950.09,2868.23,2785.94,2703.19,2619.99,2536.34,2452.23,2367.67,2282.64,2197.15,2111.20,2024.77,1937.88,1850.51,1762.66,1674.34,1585.54,1496.25,1406.47,1316.21,1225.45,1134.20,1042.45,950.20,857.45,764.19,670.43,576.15,183500.93,<50k,0.0DEQ,<2 years,RENT,2+ENQ,<10,0.0PUB,O,60M
1.0DEQ#10<x<12.5#60M#1OR2ENQ#>2 years#D#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13425.00,29259.99,28894.75,28525.95,28153.57,27777.58,33397.93,32939.35,32476.35,32085.52,31667.39,31268.94,30866.61,30460.38,24224.88,23810.72,23392.52,22970.27,22543.91,22113.41,21678.73,21239.82,20796.65,20349.18,19897.35,19441.14,18980.49,18515.37,18045.73,17571.53,17092.71,16609.25,16121.09,15628.18,15130.49,14627.96,14120.54,13608.20,13090.88,12568.53,12041.11,5133.28,4886.32,4636.92,4385.06,4130.71,3873.85,3614.44,3352.47,3087.92,2820.75,2550.94,2278.46,2003.29,1725.40,1444.76,1161.35,875.14,586.09,959957.10,<50k,1.0DEQ,>2 years,RENT,1OR2ENQ,10<x<12.5,0.0PUB,D,60M
0.0DEQ#12.5<x<14.5#60M#2+ENQ#<2 years#C#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900.00,11760.47,16619.35,30919.34,30547.52,30171.42,29791.00,29406.21,29017.00,28623.31,28225.09,27822.30,27414.88,27002.78,26585.94,26164.31,16270.71,16006.46,15739.14,15468.73,15195.18,14918.46,14638.53,14355.36,14068.90,13779.12,13485.99,13189.46,12889.49,12586.04,12279.07,11968.55,11654.42,11336.66,11015.21,10690.03,10361.09,10028.33,9691.71,2348.68,2259.44,2169.13,2077.73,1985.22,1891.61,1796.86,1700.97,1603.93,1505.72,1406.32,1305.73,1203.92,1100.89,996.61,891.08,784.28,676.19,741291.87,<50k,0.0DEQ,<2 years,RENT,2+ENQ,12.5<x<14.5,0.0PUB,C,60M
1.0DEQ#>16.5#36M#2+ENQ#<2 years#H#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.00,2937.29,4373.59,4277.92,4180.74,4082.01,3981.72,3879.85,3846.27,3812.14,3777.45,3742.20,1166.51,1130.11,1093.11,1055.51,1017.30,978.47,939.00,898.90,858.14,816.72,774.62,731.85,688.37,58039.78,>50k,1.0DEQ,<2 years,OWN,2+ENQ,>16.5,1.0PUB,H,36M
1.0DEQ#12.5<x<14.5#60M#0ENQ#>2 years#O#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,1976.96,1953.65,1930.06,1906.20,1882.04,1857.61,1832.88,1807.85,1782.53,1756.91,1730.98,1704.74,1678.20,1651.33,1624.15,1596.64,1568.81,1540.65,1512.15,1483.31,1454.13,1424.60,1394.72,1364.49,1333.89,1302.93,1271.61,1239.91,1207.83,1175.38,1142.53,1109.30,1075.67,1041.64,1007.21,972.37,937.11,901.44,865.34,828.81,791.84,754.44,716.59,62091.42,<50k,1.0DEQ,>2 years,RENT,0ENQ,12.5<x<14.5,1.0PUB,O,60M
1.0DEQ#<10#60M#0ENQ#>2 years#O#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.00,2961.25,2922.17,2882.76,2843.03,19802.97,19530.60,19256.37,18980.26,18702.27,18422.37,18140.55,17856.81,17571.12,17283.48,16993.87,16702.28,16408.69,16113.09,15815.47,15515.81,15214.10,14910.32,2022.05,1975.15,1927.86,1880.18,1832.11,1783.63,1734.75,1685.46,1635.76,1585.65,1535.12,1484.17,1432.79,1380.99,1328.76,1276.09,1222.98,1169.44,1115.44,1061.00,1006.10,950.75,894.93,838.65,781.90,724.68,364096.00,<50k,1.0DEQ,>2 years,OWN,0ENQ,<10,0.0PUB,O,60M
0.0DEQ#10<x<12.5#60M#2+ENQ#>2 years#O#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000.00,16788.12,16574.23,16358.33,22140.38,21843.65,21544.17,21241.93,20936.89,20629.04,20318.34,20004.77,19688.30,19368.91,19046.57,18721.25,18407.93,18061.69,17727.27,17389.76,17049.13,16705.35,16358.40,16008.24,15654.84,15298.18,15095.74,14891.48,14685.39,7964.87,7755.06,7543.37,7329.77,7114.25,6896.80,6677.40,6456.02,6232.65,6007.28,5779.89,5550.45,5318.94,5085.36,4849.68,4611.89,4371.95,4129.87,3885.60,3639.14,3390.47,3139.56,2886.40,2630.96,2373.23,886.45,742.05,658787.65,>50k,0.0DEQ,>2 years,OWN,2+ENQ,10<x<12.5,1.0PUB,O,60M
1.0DEQ#10<x<12.5#60M#0ENQ#<2 years#O#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11275.00,11130.77,10985.30,10838.57,10690.57,10541.29,10390.73,10238.87,10085.69,29931.20,29530.41,29125.83,28717.42,28305.15,27888.97,27468.85,27044.76,26616.65,26184.49,25748.24,25307.86,24863.31,24414.55,23961.54,23504.24,23042.61,22576.61,22106.20,21631.33,21151.96,20668.06,20179.57,19686.45,19188.66,18686.15,18178.89,17666.81,17149.89,16628.07,16101.30,15569.54,15032.75,14490.86,13943.84,13391.64,12834.20,12271.48,2958.02,2741.99,2524.09,2304.31,2082.63,1859.04,1633.52,804.85,933875.60,<50k,1.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,0.0PUB,O,60M
1.0DEQ#14.5<x<16.5#60M#2+ENQ#>2 years#O#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.00,16899.99,16709.78,16517.10,18421.91,18200.37,17975.96,17748.66,17518.42,17285.20,17074.31,16810.01,15593.61,14358.21,14110.02,11858.60,11577.96,9369.67,9081.69,8789.97,30819.46,30276.83,29307.01,28244.45,27667.95,27143.59,26745.27,26341.61,25932.57,25518.05,25097.99,24672.31,24240.94,23803.81,23360.83,22911.93,22457.02,21996.03,21528.88,21055.49,3798.21,3630.67,3460.95,3289.02,3114.86,2938.44,2759.73,2578.71,2395.33,2209.56,2021.39,1830.78,1637.69,1442.09,1243.95,1043.24,839.93,839.93,845097.91,<50k,1.0DEQ,>2 years,RENT,2+ENQ,14.5<x<16.5,0.0PUB,O,60M
1.0DEQ#<10#60M#2+ENQ#>2 years#H#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500.00,7402.17,7253.55,7153.73,7053.12,6951.71,6849.48,6746.43,6642.55,6537.84,6432.29,6325.90,6218.65,6110.54,6001.57,5891.72,5780.99,5669.38,5556.87,5443.46,5329.13,5213.90,5097.73,4980.64,4862.61,4743.63,4623.70,4502.81,4380.94,4258.10,4134.28,4009.46,3883.65,3756.82,3628.98,3500.11,3370.21,3239.27,3107.27,2974.22,2840.11,2704.92,2568.64,2431.27,2292.80,2153.22,2012.52,1870.70,1727.74,1583.63,1438.36,1291.93,1144.33,995.54,240175.11,<50k,1.0DEQ,>2 years,OWN,2+ENQ,<10,0.0PUB,H,60M
1.0DEQ#10<x<12.5#60M#0ENQ#<2 years#O#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500.00,4444.88,4389.21,4332.99,4276.20,4218.85,4160.92,4102.42,4043.33,3983.65,3923.37,3862.49,3801.00,3738.90,3676.18,3612.83,3548.85,3484.23,3418.96,3353.04,3286.47,3219.22,3151.31,3082.72,3013.44,2943.47,2872.80,2801.42,2729.33,2656.52,2582.98,2508.71,2433.70,2357.94,2281.42,2204.13,2126.07,2047.24,1967.61,1887.19,1805.97,1723.93,1641.08,1557.39,1472.88,1387.51,1301.30,1214.22,1126.27,144256.55,<50k,1.0DEQ,<2 years,OWN,0ENQ,10<x<12.5,1.0PUB,O,60M
1.0DEQ#<10#36M#2+ENQ#>2 years#H#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.00,7805.30,7609.16,7411.57,7212.51,11011.97,10713.86,10413.47,10110.78,9805.78,15998.44,9751.03,11588.50,11272.98,10955.17,10635.07,10312.66,9987.93,9660.84,9331.40,8999.58,8665.36,8328.73,7989.67,7648.15,7304.17,6957.71,4913.36,4676.70,4438.44,4198.56,3957.05,3713.91,3469.11,3222.66,2974.53,2724.72,2473.21,2220.00,1965.06,1708.40,1450.00,1189.84,304777.32,<50k,1.0DEQ,>2 years,OWN,2+ENQ,<10,0.0PUB,H,36M
1.0DEQ#>16.5#36M#1OR2ENQ#<2 years#H#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.00,3922.17,3842.83,3761.95,3679.50,3595.46,3509.78,3422.44,3333.40,3242.64,3150.12,3055.80,2959.65,2861.64,2761.73,2659.87,2556.04,2450.20,2342.31,2232.32,2120.19,2005.89,1889.38,1770.60,1649.52,1526.09,74301.52,<50k,1.0DEQ,<2 years,RENT,1OR2ENQ,>16.5,0.0PUB,H,36M
0.0DEQ#10<x<12.5#36M#2+ENQ#>2 years#H#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250.00,3174.95,3099.12,3022.52,2945.13,2866.94,2787.94,2708.13,2627.50,2546.05,2463.75,2380.61,2296.61,2211.74,2126.00,2039.38,1951.87,1863.46,1774.14,1683.90,1592.73,51412.47,<50k,0.0DEQ,>2 years,RENT,2+ENQ,10<x<12.5,1.0PUB,H,36M
0.0DEQ#<10#36M#2+ENQ#<2 years#O#0.0PUB#OWN#<50k,,,,,,,,15000.00,14639.02,19275.14,28663.22,27929.27,27189.71,33444.50,27479.09,26690.49,25895.90,31595.27,30631.52,29789.60,28941.33,28199.11,27226.27,26358.62,25484.41,29353.59,28351.79,27342.36,26340.24,27949.35,26879.06,25800.70,24714.20,19200.24,14976.53,14063.40,13143.61,18216.70,17260.81,16044.63,14945.79,13838.63,12723.08,11599.22,10948.17,10292.41,9646.11,9115.40,11149.65,19920.87,27760.47,43881.85,44268.28,46704.79,40613.76,39265.32,41733.74,40274.46,49324.79,55809.89,53984.78,48461.23,54240.92,58101.78,56211.81,54110.13,44887.38,33632.47,31638.97,30740.40,22965.16,18424.47,17556.36,16682.77,15303.69,14415.89,13522.50,16823.48,15816.58,14803.22,12564.35,11394.42,11216.71,7896.12,6914.67,6254.14,5719.81,5306.11,4889.50,4469.99,4047.53,3396.93,3043.27,2082.27,1870.27,1656.79,2082933.17,<50k,0.0DEQ,<2 years,OWN,2+ENQ,<10,0.0PUB,O,36M
0.0DEQ#10<x<12.5#36M#2+ENQ#<2 years#O#1.0PUB#RENT#<50k,14125.00,13793.60,13459.07,13121.39,12780.54,12436.47,15089.16,14669.11,14245.05,13816.95,13384.77,12852.31,12516.93,12178.42,18536.73,17606.52,16899.19,16557.61,15175.07,14585.67,14157.90,13726.25,12793.22,12502.09,11784.65,11153.13,10542.68,9811.64,9252.51,8830.68,8219.67,7345.49,2309.74,2030.85,1473.78,1130.81,828.71,736.94,644.52,551.17,456.87,361.61,265.39,168.19,70.00,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.00,1843.80,1784.84,1722.78,1660.12,438459.56,<50k,0.0DEQ,<2 years,RENT,2+ENQ,10<x<12.5,1.0PUB,O,36M
0.0DEQ#10<x<12.5#60M#2+ENQ#<2 years#H#0.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.00,3554.41,3508.41,3462.00,3415.18,3367.93,3320.27,3272.17,3223.65,3174.69,3125.29,3075.45,3025.17,2974.44,2923.25,2871.60,2819.49,2766.91,2713.87,2660.35,2606.35,2551.86,2496.89,2441.43,2385.47,2329.01,2272.05,2214.57,2156.58,2098.07,2039.04,1979.48,1919.39,1858.76,1797.58,1735.86,1673.59,99410.52,>50k,0.0DEQ,<2 years,RENT,2+ENQ,10<x<12.5,0.0PUB,H,60M
0.0DEQ#10<x<12.5#36M#2+ENQ#<2 years#O#1.0PUB#RENT#>50k,3500.00,8491.58,8286.50,8079.66,7871.05,7660.66,7448.46,7234.44,4206.28,4077.89,3948.41,3817.81,3686.09,3553.25,3419.26,3284.12,3147.82,3010.36,2871.72,2731.89,2590.86,2448.63,2305.18,2160.50,2014.58,1867.41,1718.98,1569.28,1418.30,1266.03,1112.45,957.56,801.34,643.78,484.87,324.60,162.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.00,1367.55,1334.77,1301.66,1268.22,1234.44,1200.32,1165.85,,,,,,,,,,,9600.00,5915.48,5655.94,24093.70,14723.36,13930.00,13128.38,12318.41,11500.02,10673.10,6649.10,5198.28,3428.34,1696.75,272958.23,>50k,0.0DEQ,<2 years,RENT,2+ENQ,10<x<12.5,1.0PUB,O,36M
