mask_id,7/1/2007,8/1/2007,9/1/2007,10/1/2007,11/1/2007,12/1/2007,1/1/2008,2/1/2008,3/1/2008,4/1/2008,5/1/2008,6/1/2008,7/1/2008,8/1/2008,9/1/2008,10/1/2008,11/1/2008,12/1/2008,1/1/2009,2/1/2009,3/1/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/1/2009,9/1/2009,10/1/2009,11/1/2009,12/1/2009,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,total,score_annual_inc,score_delinq_2yrs,score_emp_length,score_home_ownership,score_inq_last_6mths,score_int_rate,score_pub_rec,score_purpose,score_term
1.0DEQ#10<x<12.5#60M#1OR2ENQ#>2 years#C#0.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000.00,44699.30,44132.70,59560.84,58788.38,58008.59,65813.20,64926.88,109432.09,130221.46,107602.57,106160.85,104705.17,103235.39,119751.39,136035.48,191085.26,188422.06,249232.41,265525.94,322735.91,387271.59,870463.95,1038357.98,1099171.13,1309279.97,1406165.90,1495569.24,1474427.81,1453031.15,13087814.57,>50k,1.0DEQ,>2 years,OWN,1OR2ENQ,10<x<12.5,0.0PUB,C,60M
0.0DEQ#14.5<x<16.5#36M#2+ENQ#>2 years#C#0.0PUB#OWN#>50k,,,,,,9700.00,9485.02,9267.35,13046.96,12734.90,12418.96,12099.07,11775.20,11283.60,10784.71,10521.79,10255.54,9985.91,9712.86,9612.34,9510.57,9407.55,9303.26,9197.68,9090.80,28982.60,53434.43,72333.57,71619.24,69870.61,68099.62,75305.97,101692.96,99034.64,96341.86,73794.75,74646.35,89489.48,71359.46,69205.66,71024.68,69143.81,67239.04,65310.07,63356.59,44593.10,35684.71,33960.74,32149.45,30349.67,33327.04,46375.88,44070.62,41735.95,65771.49,106213.97,110939.12,107368.77,114029.54,123274.49,135055.70,147226.58,244736.82,304858.65,348846.41,410534.58,585638.52,605006.17,643398.37,714700.13,792007.58,890312.90,1008924.45,1005925.83,993818.04,1081349.49,1181075.95,1350172.97,1548358.10,1658585.28,1758318.60,1768283.09,1915324.51,1947735.62,1904446.90,2015750.88,1946386.27,1861394.29,1866202.19,1813767.67,1747930.72,1831409.46,1824943.93,1717486.63,1573754.83,1461278.37,47235270.48,>50k,0.0DEQ,>2 years,OWN,2+ENQ,14.5<x<16.5,0.0PUB,C,36M
0.0DEQ#<10#60M#0ENQ#>2 years#O#0.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26550.00,54887.53,53231.11,67962.34,66779.36,75038.86,128940.36,172412.43,200470.75,209941.92,244379.28,277867.56,293068.77,308199.41,308900.36,334642.04,425142.12,455215.54,518450.20,518002.55,565868.42,603407.74,638617.68,631533.21,689129.05,768185.00,750248.40,761098.71,780859.50,777573.16,778700.27,757487.41,761114.35,746907.90,768598.22,735045.49,744562.28,797559.87,798528.52,814178.90,837619.48,874286.12,875759.61,842449.06,819076.70,797096.34,772903.16,761630.06,739861.68,745824.13,721115.97,738405.36,763824.02,888046.81,980151.72,1025684.96,1088125.16,1218563.22,1561221.06,1504762.55,1470472.14,39436165.86,>50k,0.0DEQ,>2 years,OWN,0ENQ,<10,0.0PUB,O,60M
0.0DEQ#>16.5#60M#0ENQ#>2 years#O#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,1978.51,1956.73,1934.63,1912.23,11889.51,19759.79,19524.92,45287.32,52724.81,96153.13,95011.52,96856.25,95659.38,94447.99,112821.89,157551.68,155683.32,171790.39,187917.78,214725.36,225625.40,265657.48,267304.52,271051.94,267477.92,282852.90,344008.09,339686.84,344540.15,342081.68,352524.91,397534.60,374102.16,370705.64,448030.48,442068.15,542393.97,596640.04,590866.00,638592.58,686399.07,733880.22,787446.40,796890.07,830544.43,867879.72,883315.31,1060896.84,1105160.41,1124854.56,1258331.69,1383157.05,1413292.28,1447160.45,1572339.18,1573820.18,1517590.90,1473625.11,29857916.47,<50k,0.0DEQ,>2 years,OWN,0ENQ,>16.5,0.0PUB,O,60M
0.0DEQ#>16.5#60M#2+ENQ#>2 years#H#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000.00,13852.49,31702.83,31375.34,31042.67,30704.73,30361.45,30012.74,29658.51,29298.68,28933.15,28561.84,28184.65,27801.50,27412.27,27016.89,26615.24,26207.24,25792.78,14574.72,14341.27,27803.88,92433.40,91403.99,138957.64,222311.20,285871.99,429518.75,478006.53,511320.21,517944.46,593796.01,655295.43,683197.99,739938.51,988990.36,1118597.42,1265178.05,1269732.83,1407549.47,1583174.29,1593757.64,1584531.28,1648483.65,1643198.73,1662107.69,1659884.04,1641123.97,1546845.01,1483748.15,28112153.58,>50k,0.0DEQ,>2 years,OWN,2+ENQ,>16.5,1.0PUB,H,60M
0.0DEQ#10<x<12.5#36M#1OR2ENQ#<2 years#D#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,9600.00,9373.52,9144.97,8914.33,8681.59,28446.73,27746.71,27039.82,26326.01,24495.60,23757.60,23012.38,22259.85,16161.57,15659.60,15152.53,14640.31,14122.90,13600.23,13072.26,12538.93,12000.19,11455.98,10906.25,10350.94,9789.99,9223.35,8650.96,8072.76,7488.69,6898.69,6302.71,5700.67,,,,,,,16750.00,16350.08,15946.77,15540.04,103679.88,111187.92,108437.70,128412.05,171083.57,214050.56,235890.36,290089.70,333299.67,360248.82,366562.18,387307.67,421746.67,496311.85,566253.90,568007.77,707082.84,753617.22,920884.13,1063466.75,1075796.25,1278057.31,1382548.07,1432224.07,1562399.65,1697609.17,1663240.33,1572004.79,1485804.25,21992480.55,>50k,0.0DEQ,<2 years,OWN,1OR2ENQ,10<x<12.5,1.0PUB,D,36M
0.0DEQ#<10#36M#0ENQ#<2 years#D#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.00,18831.49,18360.68,17886.78,29409.77,28632.06,27849.29,27061.43,26268.45,25470.31,24666.97,23858.41,23044.59,22225.47,21401.02,20571.21,19735.99,22895.33,21950.36,20999.24,20041.91,19078.34,18108.48,17132.30,16149.75,15160.79,35165.38,54449.55,52417.33,61371.09,59006.62,61626.01,57213.50,69035.73,66506.54,58774.70,75599.84,75468.82,112021.03,130639.04,130474.82,171994.57,188553.54,183215.55,265336.71,297769.36,364568.52,605413.40,775110.61,875030.39,1171354.35,1409614.45,1619465.27,1541848.96,1486506.78,12609342.87,>50k,0.0DEQ,<2 years,RENT,0ENQ,<10,1.0PUB,D,36M
0.0DEQ#10<x<12.5#36M#0ENQ#<2 years#D#1.0PUB#RENT#>50k,,,,,,,12375.00,12082.89,11788.12,22490.68,21932.58,21369.31,20800.83,26227.08,25504.44,24775.23,24039.41,23296.91,22547.67,21791.63,21028.73,15441.73,14818.38,14189.25,23554.30,22678.69,21794.94,20902.98,20002.73,19094.11,36177.06,34834.76,29628.83,28630.37,27622.18,41004.19,39638.72,38260.06,44868.07,43274.39,39909.98,38626.86,37335.28,36031.21,34714.54,49785.14,37254.59,35997.54,35815.86,34812.47,33802.29,48582.68,47180.98,45766.27,44338.43,42838.93,41264.95,39676.78,38073.55,36455.87,34822.84,33175.07,31511.68,37833.25,35953.54,34056.64,40127.81,49200.25,75249.62,72363.29,124449.73,151907.28,155283.83,239133.62,307371.84,330369.73,346005.97,379761.34,456154.02,451249.18,495597.39,518272.31,604930.79,671569.30,763780.97,957825.78,1228058.27,1222690.27,1352583.37,1389293.77,1465705.94,1547158.51,1611890.74,1646208.68,1577946.63,1488896.39,23575120.07,>50k,0.0DEQ,<2 years,RENT,0ENQ,10<x<12.5,1.0PUB,D,36M
0.0DEQ#>16.5#36M#1OR2ENQ#<2 years#O#0.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,10000.00,9794.35,9585.31,9372.82,24156.83,23613.44,36061.92,40240.75,54303.81,53298.86,47051.05,63843.82,62236.95,75155.61,73185.94,71186.66,69157.32,67097.47,65006.65,52884.37,48580.76,44622.04,48844.64,48236.07,46241.77,44217.75,42163.58,79678.78,84237.34,92389.07,81819.02,78703.07,143328.91,141469.85,197567.71,243025.41,257863.72,246672.62,356365.53,431692.57,411360.20,451938.18,449452.33,525526.11,581266.46,569744.10,773231.89,781266.00,982058.05,1052136.24,1219096.74,1272779.01,1384997.75,1478318.43,1439642.96,1523254.11,1571752.25,1588571.86,1583588.48,1711228.26,1908045.94,1853901.08,2014676.04,1947240.71,1913783.49,1879532.94,1901127.07,1857698.87,1737986.91,1742877.61,1700550.49,1591498.73,1489706.68,48564790.13,>50k,0.0DEQ,<2 years,RENT,1OR2ENQ,>16.5,0.0PUB,O,36M
0.0DEQ#>16.5#60M#0ENQ#>2 years#O#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.00,24733.88,24463.97,44190.19,43716.57,49635.69,65289.60,64583.37,94665.69,110326.61,109197.92,108051.37,106886.67,95303.55,94101.69,92880.81,91640.60,90380.74,107285.58,104008.57,102673.82,86944.34,67388.83,96352.69,75012.78,73300.40,89784.05,87848.54,154079.92,202975.26,249063.82,245519.98,250069.78,277902.19,319612.17,325622.99,359770.99,380635.56,421174.89,479666.77,571208.34,607647.37,754680.89,846129.70,914312.24,1236372.75,1392041.23,1397043.55,1424408.35,1512932.01,1603802.96,1567971.04,1500048.11,21220341.37,>50k,0.0DEQ,>2 years,RENT,0ENQ,>16.5,1.0PUB,O,60M
